V,errV,I,errI
0.020,0.002,0,0.00003
0.040,0.002,0,0.000003
0.060,0.002,0.00001,0.00003015
0.080,0.002,0.00002,0.0000303
0.100,0.002,0.00003,0.00003045
0.112,0.002,0.00004,0.0000306
0.124,0.002,0.00005,0.00003075
0.132,0.002,0.00006,0.0000309
0.140,0.002,0.00007,0.00003105
0.150,0.005,0.00008,0.0000312
0.160,0.005,0.00010,0.0000315
0.170,0.005,0.00013,0.00003195
0.180,0.005,0.00016,0.0000324
0.190,0.005,0.00019,0.00003285
0.200,0.005,0.00023,0.00003345
0.210,0.005,0.00028,0.0000342
0.220,0.005,0.00033,0.00003495
0.230,0.005,0.00039,0.00003585
0.250,0.005,0.00055,0.00003825
0.270,0.005,0.00078,0.0000417
0.290,0.005,0.00108,0.0000462
0.310,0.005,0.00148,0.0000522
0.320,0.010,0.00201,0.00006015